movie_name,movie_duration,movie_genre,movie_director,movie_release_year
Nhà tù Shawshank,142,Drama,Frank Darabont,1994
Bố Già,175,Crime,Francis Ford Coppola,1972
Kỵ Sĩ Bóng Đêm,152,Action,Christopher Nolan,2008
Bố Già Phần II,202,Crime,Francis Ford Coppola,1974
12 Người Đàn Ông Giận Dữ,96,Crime,Sidney Lumet,1957
Bản Danh Sách Của Schindler,195,Biography,Steven Spielberg,1993
Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,201,Action,Peter Jackson,2003
Chuyện Tào Lao,154,Crime,Quentin Tarantino,1994
Chúa Tể Của Những Chiếc Nhẫn: Những Người Bạn Của Nhẫn,178,Action,Peter Jackson,2001
"Thiện, Ác, Tà",161,Adventure,Sergio Leone,1966
Cuộc Đời Forrest Gump,142,Drama,Robert Zemeckis,1994
Sàn Đấu Sinh Tử,139,Drama,David Fincher,1999
Chúa Tể Của Những Chiếc Nhẫn: Hai Tòa Tháp,179,Action,Peter Jackson,2002
Kẻ Đánh Cắp Giấc Mơ,148,Action,Christopher Nolan,2010
Chiến Tranh Giữa Các Vì Sao Tập 5: Đế Chế Phản Công,124,Action,Irvin Kershner,1980
Ma Trận,136,Action,Lana Wachowski,1999
Chiến Hữu,145,Biography,Martin Scorsese,1990
Bay Trên Tổ Chim Cúc Cu,133,Drama,Milos Forman,1975
7 Tội Lỗi Chết Người,127,Crime,David Fincher,1995
Cuộc Sống Tươi Đẹp,130,Drama,Frank Capra,1946
Bảy Võ Sĩ Đạo,207,Action,Akira Kurosawa,1954
Hố Đen Tử Thần,169,Adventure,Christopher Nolan,2014
Sự Im Lặng Của Bầy Cừu,118,Crime,Jonathan Demme,1991
Giải Cứu Binh Nhì Ryan,169,Drama,Steven Spielberg,1998
Thành Phố Của Chúa,130,Crime,Fernando Meirelles,2002
Cuộc Sống Tươi Đẹp,116,Comedy,Roberto Benigni,1997
Dặm Xanh,189,Crime,Frank Darabont,1999
Người Nhện: Du Hành Vũ Trụ Nhện,140,Animation,Joaquim Dos Santos,2023
Chiến Tranh Giữa Các Vì Sao Tập 4: Niềm Hi Vọng Mới,121,Action,George Lucas,1977
Kẻ Hủy Diệt 2: Ngày Phán Xét,137,Action,James Cameron,1991
Trở Về Tương Lai,116,Adventure,Robert Zemeckis,1985
Vùng Đất Linh Hồn,125,Animation,Hayao Miyazaki,2001
Nghệ Sĩ Dương Cầm,150,Biography,Roman Polanski,2002
Tâm Thần Hoảng Loạn,109,Horror,Alfred Hitchcock,1960
Ký Sinh Trùng,132,Drama,Bong Joon Ho,2019
Võ Sĩ Giác Đấu,155,Action,Ridley Scott,2000
Vua Sư Tử,88,Animation,Roger Allers,1994
Léon: Sát Thủ Chuyên Nghiệp,110,Action,Luc Besson,1994
Lịch Sử Mĩ Thế Kỉ X,119,Crime,Tony Kaye,1998
Điệp Vụ Boston,151,Crime,Martin Scorsese,2006
Tay Trống Cự Phách,106,Drama,Damien Chazelle,2014
Ảo Thuật Gia Đấu Trí,130,Drama,Christopher Nolan,2006
Mộ Đom Đóm,89,Animation,Isao Takahata,1988
Nghi Phạm Vô Hình,106,Crime,Bryan Singer,1995
Seppuku,133,Action,Masaki Kobayashi,1962
Chuyện Tình Thế Chiến,102,Drama,Michael Curtiz,1942
Những Kẻ Bên Lề,112,Biography,Olivier Nakache,2011
Thời Đại Tân Kỳ,87,Comedy,Charles Chaplin,1936
Rạp Chiếu Bóng Thiên Đường,155,Drama,Giuseppe Tornatore,1988
Thưở Ấy Miền Viễn Tây,166,Western,Sergio Leone,1968
Vụ Án Mạng Nhà Bên,112,Mystery,Alfred Hitchcock,1954
Quái Vật Không Gian,117,Horror,Ridley Scott,1979
Ánh Sáng Đô Thị,87,Comedy,Charles Chaplin,1931
Lời Sấm Truyền,147,Drama,Francis Ford Coppola,1979
Hành Trình Django,165,Drama,Quentin Tarantino,2012
Kẻ Mất Trí Nhớ,113,Mystery,Christopher Nolan,2000
Indiana Jones Và Chiếc Rương Thánh Tích,115,Action,Steven Spielberg,1981
Rô-bốt Biết Yêu,98,Animation,Andrew Stanton,2008
Khoảnh Khắc Cuộc Đời,137,Drama,Florian Henckel von Donnersmarck,2006
Sunset Blvd.,110,Drama,Billy Wilder,1950
Đường Tới Vinh Quang,88,Drama,Stanley Kubrick,1957
Oppenheimer,180,Biography,Christopher Nolan,2023
Avengers: Cuộc Chiến Vô Cực,149,Action,Anthony Russo,2018
Ngôi Nhà Ma,146,Drama,Stanley Kubrick,1980
Người Nhện: Vũ Trụ Mới,117,Animation,Bob Persichetti,2018
Nhân Chứng Buộc Tội,116,Crime,Billy Wilder,1957
Nhà Độc Tài Vĩ Đại,125,Comedy,Charles Chaplin,1940
Quái Vật Không Gian 2,137,Action,James Cameron,1986
Định Mệnh,153,Adventure,Quentin Tarantino,2009
Kỵ Sĩ Bóng Đêm Trỗi Dậy,164,Action,Christopher Nolan,2012
Vẻ Đẹp Mỹ,122,Drama,Sam Mendes,1999
Tiến Sĩ Strangelove,95,Comedy,Stanley Kubrick,1964
Oldboy: Báo Thù,120,Action,Park Chan-wook,2003
Coco: Hội Ngộ Diệu Kỳ,105,Animation,Lee Unkrich,2017
Sự Đố Kỵ Của Thiên Tài,160,Biography,Milos Forman,1984
Câu Chuyện Đồ Chơi,81,Animation,John Lasseter,1995
Trận Chiến Tàu Ngầm,149,Drama,Wolfgang Petersen,1981
Trái Tim Dũng Cảm,178,Biography,Mel Gibson,1995
Avengers: Hồi Kết,181,Action,Anthony Russo,2019
Joker,122,Crime,Todd Phillips,2019
Công Chúa Mononoke,134,Animation,Hayao Miyazaki,1997
Chàng Will Tốt Bụng,126,Drama,Gus Van Sant,1997
Tên Cậu Là Gì?,106,Animation,Makoto Shinkai,2016
Nước Mỹ Một Thời,229,Crime,Sergio Leone,1984
Tengoku to jigoku,143,Crime,Akira Kurosawa,1963
3 Chàng Ngốc,170,Comedy,Rajkumar Hirani,2009
Hát Dưới Mưa,103,Comedy,Stanley Donen,1952
Capharnaüm,126,Drama,Nadine Labaki,2018
Nguyện Cầu Cho Một Giấc Mơ,102,Drama,Darren Aronofsky,2000
Đến Mà Xem,142,Drama,Elem Klimov,1985
Câu Chuyện Đồ Chơi 3,103,Animation,Lee Unkrich,2010
Chiến Tranh Giữa Các Vì Sao Tập 6: Sự Quay Trở Lại Của Jedi,131,Action,Richard Marquand,1983
Tia Nắng Vĩnh Cửu Của Tâm Hồn Tinh Khiết,108,Drama,Michel Gondry,2004
2001: Chuyến Du Hành Không Gian,149,Adventure,Stanley Kubrick,1968
Cuộc Săn Lùng,115,Drama,Thomas Vinterberg,2012
Những Kẻ Phản Bội,99,Crime,Quentin Tarantino,1992
Ikiru,143,Drama,Akira Kurosawa,1952
Lawrence Xứ Ả Rập,218,Adventure,David Lean,1962
Căn Hộ Tình Yêu,125,Comedy,Billy Wilder,1960
Công Dân Kane,119,Drama,Orson Welles,1941
M - Eine Stadt sucht einen Mörder,117,Crime,Fritz Lang,1931
Bắc Tây Bắc,136,Action,Alfred Hitchcock,1959
Quay Cuồng,128,Mystery,Alfred Hitchcock,1958
Double Indemnity,107,Crime,Billy Wilder,1944
Le fabuleux destin d'Amélie Poulain,122,Comedy,Jean-Pierre Jeunet,2001
Ông Trùm Mặt Sẹo,170,Crime,Brian De Palma,1983
Áo Giắp Sắt,116,Drama,Stanley Kubrick,1987
Tìm Tung Tích Mẹ,131,Drama,Denis Villeneuve,2010
Cỗ Máy Tội Phạm,136,Crime,Stanley Kubrick,1971
Kỳ Phùng Địch Thủ,170,Action,Michael Mann,1995
Vút Bay,96,Animation,Pete Docter,2009
Giết Con Chim Nhại,129,Crime,Robert Mulligan,1962
The Sting,129,Comedy,George Roy Hill,1973
Anh Hùng Hamilton,160,Biography,Thomas Kail,2020
Cuộc Chia Ly,123,Drama,Asghar Farhadi,2011
Indiana Jones Và Cuộc Thập Tự Chinh Cuối Cùng,127,Action,Steven Spielberg,1989
Thành Phố Trung Tâm,153,Drama,Fritz Lang,1927
Đương Đầu Với Thử Thách,132,Action,John McTiernan,1988
Cậu Bé Đặc Biệt,162,Drama,Aamir Khan,2007
Tên Trộm Nữ Trang,104,Comedy,Guy Ritchie,2000
Kẻ Cắp Xe Đạp,89,Drama,Vittorio De Sica,1948
Bí Mật Los Angeles,138,Crime,Curtis Hanson,1997
Thế Chiến 1917,119,Action,Sam Mendes,2019
Tài Xế Taxi,114,Crime,Martin Scorsese,1976
Ngày Tàn Của Hitler,156,Biography,Oliver Hirschbiegel,2004
Dangal,161,Action,Nitesh Tiwari,2016
Thêm Vài Đồng Xu Lẻ,132,Drama,Sergio Leone,1965
Người Dơi Xuất Hiện,140,Action,Christopher Nolan,2005
Phi Công Siêu Đẳng Maverick,130,Action,Joseph Kosinski,2022
Some Like It Hot,121,Comedy,Billy Wilder,1959
Đứa Trẻ,68,Comedy,Charles Chaplin,1921
Sói Già Phố Wall,180,Biography,Martin Scorsese,2013
The Father,97,Drama,Florian Zeller,2020
Cẩm Nang Xanh,130,Biography,Peter Farrelly,2018
All About Eve,138,Drama,Joseph L. Mankiewicz,1950
Tòa Án Chiến Tranh,179,Drama,Stanley Kramer,1961
Buổi Diễn Của Truman,103,Comedy,Peter Weir,1998
Máu Sẽ Phải Đổ,158,Drama,Paul Thomas Anderson,2007
Sòng Bạc,178,Crime,Martin Scorsese,1995
Đảo Kinh Hoàng,138,Mystery,Martin Scorsese,2010
Lãnh Chúa Hidetora,160,Action,Akira Kurosawa,1985
Mê Cung Của Pan,118,Drama,Guillermo del Toro,2006
Công Viên Kỷ Jura,127,Action,Steven Spielberg,1993
Giác Quan Thứ Sáu,107,Drama,M. Night Shyamalan,1999
Không Thể Tha Thứ,130,Drama,Clint Eastwood,1992
Một Tâm Hồn Đẹp,135,Biography,Ron Howard,2001
Không Chốn Dung Thân,122,Crime,Ethan Coen,2007
Kho Báu Ở Sierra Madre,126,Adventure,John Huston,1948
Yôjinbô,110,Action,Akira Kurosawa,1961
Cô Dâu Báo Thù 1,111,Action,Quentin Tarantino,2003
Quái Vật Biến Hình,109,Horror,John Carpenter,1982
Chén Thánh Phiêu Lưu Ký,91,Adventure,Terry Gilliam,1975
Cuộc Đào Thoát Vĩ Đại,172,Adventure,John Sturges,1963
Đi Tìm Nemo,100,Animation,Andrew Stanton,2003
Lã Sinh Môn,88,Crime,Akira Kurosawa,1950
Người Voi,124,Biography,David Lynch,1980
Phố Tàu,130,Drama,Roman Polanski,1974
Lâu Đài Di Động Của Howl,119,Animation,Hayao Miyazaki,2004
Cuộc Gọi Chết Người,105,Crime,Alfred Hitchcock,1954
Cuốn Theo Chiều Gió,238,Drama,Victor Fleming,1939
Chiến Binh Tự Do,132,Action,James McTeigue,2005
Lần Theo Dấu Vết,153,Crime,Denis Villeneuve,2013
Bò Đực Nổi Điên,129,Biography,Martin Scorsese,1980
Băng Đảng Người Anh,107,Action,Guy Ritchie,1998
Bí Mật Sau Ánh Mắt,129,Drama,Juan José Campanella,2009
Những Mảnh Ghép Cảm Xúc,95,Animation,Pete Docter,2015
Người Nhện: Không Còn Nhà,148,Action,Jon Watts,2021
Three Billboards: Truy Tìm Công Lý,115,Comedy,Martin McDonagh,2017
Lối Sống Đồi Trụy,93,Drama,Danny Boyle,1996
Cầu Sông Kwai,161,Adventure,David Lean,1957
Thị Trấn Fargo,98,Crime,Joel Coen,1996
Chiến Binh Quyền Anh,140,Action,Gavin O'Connor,2011
Hãy Bắt Tôi Nếu Có Thể,141,Biography,Steven Spielberg,2002
Ngọt Và Đắng,116,Drama,Clint Eastwood,2008
Klaus - Câu Chuyện Giáng Sinh,96,Animation,Sergio Pablos,2019
Hàng Xóm Của Tôi Là Totoro,86,Animation,Hayao Miyazaki,1988
Million Dollar Baby,132,Drama,Clint Eastwood,2004
Harry Potter và Bảo Bối Tử Thần: Phần 2,130,Adventure,David Yates,2011
Những Đứa Trẻ Thiên Đường,89,Drama,Majid Majidi,1997
Tội Phạm Nhân Bản,117,Action,Ridley Scott,1982
12 Năm Nô Lệ,134,Biography,Steve McQueen,2013
Before Sunrise,101,Drama,Richard Linklater,1995
Khách Sạn Đế Vương,99,Adventure,Wes Anderson,2014
Ben-Hur: Truyền Thuyết Đức Chúa Trời,212,Adventure,William Wyler,1959
Cuộc Săn Vàng,95,Adventure,Charles Chaplin,1925
Barry Lyndon,185,Adventure,Stanley Kubrick,1975
Cô Gái Mất Tích,149,Drama,David Fincher,2014
Người Hùng Không Súng,139,Biography,Mel Gibson,2016
In the Name of the Father,133,Biography,Jim Sheridan,1993
On the Waterfront,108,Crime,Elia Kazan,1954
Hồi Ức Kẻ Sát Nhân,131,Crime,Bong Joon Ho,2003
Xe Lửa Tình Yêu,78,Action,Clyde Bruckman,1926
Kẻ Săn Hươu,183,Drama,Michael Cimino,1978
Relatos salvajes,122,Comedy,Damián Szifron,2014
Smultronstället,91,Drama,Ingmar Bergman,1957
Hội Cố Thi Nhân,128,Comedy,Peter Weir,1989
Người Thứ Ba,104,Film-Noir,Carol Reed,1949
Le salaire de la peur,131,Adventure,Henri-Georges Clouzot,1953
Max Điên: Con Đường Tử Thần,120,Action,George Miller,2015
Sherlock Jr.,45,Action,Buster Keaton,1924
Công Ty Quái Vật,92,Animation,Pete Docter,2001
Mr. Smith Goes to Washington,129,Comedy,Frank Capra,1939
Hàm Cá Mập,124,Adventure,Steven Spielberg,1975
Bí Kíp Luyện Rồng,98,Animation,Dean DeBlois,2010
Mary Và Max,92,Animation,Adam Elliot,2009
Cuộc Đua Lịch Sử,152,Action,James Mangold,2019
Phong Ấn Thứ Bảy,96,Drama,Ingmar Bergman,1957
Room,118,Drama,Lenny Abrahamson,2015
Bá Tước Lebowski,117,Comedy,Joel Coen,1998
Chú Chuột Đầu Bếp,111,Animation,Brad Bird,2007
Câu Chuyện Tokyo,136,Drama,Yasujirô Ozu,1953
Tay Đấm Huyền Thoại,120,Drama,John G. Avildsen,1976
Khách Sạn Rwanda,121,Biography,Terry George,2004
Logan: Người Sói,137,Action,James Mangold,2017
Tiêu Điểm,129,Biography,Tom McCarthy,2015
Trung Đội,120,Drama,Oliver Stone,1986
Bài Ca Khổ Hình Của Joan of Arc,110,Biography,Carl Theodor Dreyer,1928
Kẻ Hủy Diệt,107,Action,James Cameron,1984
Jai Bhim,164,Crime,T.J. Gnanavel,2021
Trước Lúc Hoàng Hôn,80,Drama,Richard Linklater,2004
Đường Đua Nghẹt Thở,123,Action,Ron Howard,2013
Network,121,Drama,Sidney Lumet,1976
The Best Years of Our Lives,170,Drama,William Wyler,1946
Quỷ Ám,122,Horror,William Friedkin,1973
Hãy Đứng Bên Tôi,89,Adventure,Rob Reiner,1986
La haine,98,Crime,Mathieu Kassovitz,1995
Cướp Biển Vùng Caribê: Lời Nguyền Của Tàu Ngọc Trai Đen,143,Action,Gore Verbinski,2003
Phù Thủy Xứ Oz,102,Adventure,Victor Fleming,1939
Gia Đình Siêu Nhân,115,Animation,Brad Bird,2004
Về Với Thiên Nhiên,148,Adventure,Sean Penn,2007
Hachiko: Chú Chó Trung Thành,93,Biography,Lasse Hallström,2009
To Be or Not to Be,99,Comedy,Ernst Lubitsch,1942
Người Hầu Gái,145,Drama,Park Chan-wook,2016
Cha Và Con Của Tôi,112,Drama,Çagan Irmak,2005
La battaglia di Algeri,121,Drama,Gillo Pontecorvo,1966
Ngày Chuột Chũi,101,Comedy,Harold Ramis,1993
The Grapes of Wrath,129,Drama,John Ford,1940
Amores perros,154,Drama,Alejandro G. Iñárritu,2000
Giai Điệu Hạnh Phúc,172,Biography,Robert Wise,1965
Rebecca,130,Drama,Alfred Hitchcock,1940
Cool Hand Luke,127,Crime,Stuart Rosenberg,1967
Người Máy Khổng Lồ,86,Animation,Brad Bird,1999
Pather Panchali,125,Drama,Satyajit Ray,1955
Người Giúp Việc,146,Drama,Tate Taylor,2011
Chuyện Xảy Ra Trong Đêm,105,Comedy,Frank Capra,1934
400 Cú Đấm,99,Crime,François Truffaut,1959
Aladdin,90,Animation,Ron Clements,1992
Khiêu Vũ Với Bầy Sói,181,Adventure,Kevin Costner,1990
Gangs of Wasseypur,321,Action,Anurag Kashyap,2012
Cuộc Sống Của Brian,94,Comedy,Terry Jones,1979